mysql> select * from recipes;
+------+---------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------+
| id   | name                                                                      | link                                                                                                          |
| 1471 | Bolognese Meat Sauce                                                      | http://www.simplyrecipes.com/recipes/bolognese_meat_sauce/                                                    |
| 1472 | Borscht                                                                   | http://www.simplyrecipes.com/recipes/borscht/                                                                 |
| 1473 | Boston Brown Bread                                                        | http://www.simplyrecipes.com/recipes/boston_brown_bread/                                                      |
| 1474 | Bouillabaisse                                                             | http://www.simplyrecipes.com/recipes/bouillabaisse/                                                           |
| 1475 | Boysenberry Cobbler                                                       | http://www.simplyrecipes.com/recipes/boysenberry_cobbler/                                                     |
| 1476 | Boysenberry Pie                                                           | http://www.simplyrecipes.com/recipes/boysenberry_pie/                                                         |
| 1477 | Braised BBQ Beef Sandwich                                                 | http://www.simplyrecipes.com/recipes/braised_bbq_beef_sandwich/                                               |
| 1478 | Braised Beef Short Ribs                                                   | http://www.simplyrecipes.com/recipes/braised_beef_short_ribs/                                                 |
| 1479 | Braised Fennel                                                            | http://www.simplyrecipes.com/recipes/braised_fennel/                                                          |
| 1480 | Braised Lamb Shanks                                                       | http://www.simplyrecipes.com/recipes/braised_lamb_shanks/                                                     |
| 1481 | Braised Leeks                                                             | http://www.simplyrecipes.com/recipes/braised_leeks/                                                           |
| 1482 | Braised Onions                                                            | http://www.simplyrecipes.com/recipes/braised_onions/                                                          |
| 1483 | Braised Rabbit with Prunes                                                | http://www.simplyrecipes.com/recipes/braised_rabbit_with_prunes/                                              |
| 1484 | Braised Red Cabbage with Chestnuts                                        | http://www.simplyrecipes.com/recipes/braised_red_cabbage_with_chestnuts/                                      |
| 1485 | Braised Turkey Legs                                                       | http://www.simplyrecipes.com/recipes/braised_turkey_legs/                                                     |
| 1486 | Brandied Cranberries                                                      | http://www.simplyrecipes.com/recipes/brandied_cranberries/                                                    |
| 1487 | Brandied Cranberry, White Chocolate Chip Cookies                          | http://www.simplyrecipes.com/recipes/brandied_cranberry_white_chocolate_chip_cookies/                         |
| 1488 | Bread Pudding                                                             | http://www.simplyrecipes.com/recipes/bread_pudding/                                                           |
